282,108,4.14,18kPq7GPye-YQ3LyKyAZPw
15242,1292,3.67,rpOyqD_893cqmDAtJLbdog
1349,395,3.68,4U9kSBLuBDU391x6bxU-YA
37,66,3.8,SIBCL7HBkrP4llolm4SC2A
18183,1632,4.35,8J4IIYcqBlFch8T90N923A
39,55,4.45,ysYmC-ufbdmVEX9yAv-VEQ
135,60,3.88,WPOKvkacSKHx_bIG1alFiA
251,102,3.59,UTS9XcT14H2ZscRIf0MYHQ
2418,984,4.01,ZWOj6LmzwGvMDh-A85EOtA
62,122,3.69,9i8tV1cWR3nSiOTtg4OEAg
51,55,3.76,0ZtOuzEA3k8XjSaf6MgR-w
30,66,3.97,oNB_7-GlUaYL3SWPtXYHrA
87,170,3.52,wy6l_zUo7SN0qrvNRWgySw
202,200,3.14,iToySZiFejGsgzWc2i3_jA
101,53,3.89,1_zgVZLS3wadNBPQeebSHA
290,162,4.15,T4kuUr_iJiywOPdyM7gTHQ
2426,430,3.5,YkafUZz74f5C8ozi5NX73g
188,89,3.59,_YodLaLdnyEsRxlwnEDS_A
254,576,3.52,totSIgraA3tIEh2Kbt82_w
54,103,4.88,ttNhTXmjr7sEE2Zju4SUzA
83,70,3.32,-4j3GYNDOP0j2QsL7pKY0Q
281,142,3.82,anTtulQ9G2b3SipCEwGVHg
17,99,3.22,82d-mm3hB2UelHwrptvcMw
343,169,3.7,QEYTm3qf6Kmp0VmamXQW_A
117,79,3.67,4cXy748OWjB9JX4slixXoQ
202,160,3.8,makftOiFZ3CgbHWeVgiLaA
61,72,3.88,7OBtilKF-b7OEQhFzKXruA
79,54,3.02,kVwgITj55yY5PPwyKwbc6Q
33,72,4.4,rqcYyk9CybICXM1VMOc7fA
57,89,3.84,7cIc52lToGmKu7Hpp6rPdg
53,157,3.89,tCVQyYHcmOrx2i81C47Tew
245,128,4.3,0eNNaJM9rPdUGaG5eaOJqQ
76,51,1.69,4hCd3561Bua1q0mK3em0pQ
271,114,3.8,OpvNN4ELpFz8b_aZq8UlqQ
